Time,Speed,RPM,Throttle Position
32653,0.62,547,0.784313725
32805,0.62,584,0.784313725
32956,0.62,723,0.784313725
33107,1.24,877,0.784313725
33259,0.62,975,0.784313725
33413,0.62,1091,0.784313725
33564,0.62,1167,0.784313725
33715,1.24,1177,0.784313725
33866,1.24,1144,0.784313725
34017,1.24,1045,0.784313725
34169,1.86,1033,0.784313725
34320,1.86,1003,0.784313725
34472,1.86,971,0.784313725
34624,1.86,945,0.784313725
34776,1.86,921,0.784313725
34928,1.24,900,0.784313725
35080,1.24,902,0.784313725
35230,1.24,949,0.784313725
35382,1.24,949,0.784313725
35532,1.24,873,0.784313725
35683,1.24,787,0.784313725
35835,1.86,714,0.784313725
35986,1.86,728,0.784313725
36136,1.86,773,0.784313725
36287,1.86,776,0.784313725
36438,1.24,783,0.784313725
36590,1.24,764,0.784313725
36741,1.24,766,0.784313725
36892,1.24,763,0.784313725
37044,1.24,761,0.784313725
37194,1.24,752,0.784313725
37346,1.24,766,0.784313725
37498,1.24,778,0.784313725
37649,0.62,773,0.784313725
37800,0.62,775,0.784313725
37951,0.62,766,0.784313725
38103,0.62,710,0.784313725
38255,0.62,680,0.784313725
38407,0.62,659,0.784313725
38558,0.62,637,0.784313725
38710,0.62,617,0.784313725
38860,1.24,584,0.784313725
39011,1.24,552,0.784313725
39162,1.24,527,0.784313725
39315,1.24,545,0.784313725
39468,1.24,659,0.784313725
39619,1.24,807,0.784313725
39772,0.62,878,0.784313725
39923,0.62,911,0.784313725
40076,0.62,943,0.784313725
40227,0.62,951,0.784313725
40379,0.62,936,0.784313725
40531,0,890,0.784313725
42303,0,750,0.784313725
42353,0.62,743,0.784313725
42503,0.62,757,0.784313725
42654,0.62,785,0.784313725
42806,0.62,770,0.784313725
42958,0.62,751,0.784313725
43109,1.24,746,0.784313725
43262,1.24,747,0.784313725
43413,1.24,786,0.784313725
43565,1.24,861,0.784313725
43716,1.86,860,0.784313725
43867,1.86,839,0.784313725
44019,1.86,815,0.784313725
44170,1.86,813,0.784313725
44322,1.86,787,0.784313725
44473,1.86,813,0.784313725
44625,2.48,816,0.784313725
44776,2.48,821,0.784313725
44927,2.48,838,0.784313725
45079,3.1,855,0.784313725
45230,3.72,905,0.784313725
45380,4.34,917,0.784313725
45533,4.34,1003,0.784313725
45684,4.96,1032,0.784313725
45835,4.96,1041,0.784313725
45987,5.58,1026,0.784313725
46139,5.58,1008,0.784313725
46290,5.58,984,0.784313725
46441,6.2,965,0.784313725
46593,6.2,878,0.784313725
46745,6.2,860,0.784313725
46896,6.2,845,0.784313725
47047,6.2,823,0.784313725
47199,6.2,804,0.784313725
47350,6.2,787,0.784313725
47501,6.2,779,0.784313725
47652,6.2,779,0.784313725
47803,6.2,781,0.784313725
47954,5.58,793,0.784313725
48106,5.58,810,0.784313725
48257,5.58,824,0.784313725
48409,4.96,838,0.784313725
48559,4.96,837,0.784313725
48710,4.96,832,0.784313725
48862,4.96,831,0.784313725
49013,4.96,831,0.784313725
49164,4.96,820,0.784313725
49314,4.96,816,0.784313725
49466,4.96,805,0.784313725
49616,4.96,807,0.784313725
49768,4.96,799,0.784313725
49920,4.34,790,0.784313725
50071,4.34,789,0.784313725
50223,4.34,785,0.784313725
50375,4.34,778,0.784313725
50527,4.34,763,0.784313725
50679,4.34,737,0.784313725
50830,4.34,729,0.784313725
50981,4.34,706,0.784313725
51131,4.34,685,0.784313725
51282,4.34,673,0.784313725
51433,3.72,670,0.784313725
51584,3.72,696,0.784313725
51735,3.72,706,0.784313725
51887,3.72,754,0.784313725
52038,3.72,778,0.784313725
52188,3.72,789,0.784313725
52338,3.72,795,0.784313725
52489,3.1,804,0.784313725
52640,3.1,819,0.784313725
52791,3.1,815,0.784313725
52944,3.1,796,0.784313725
53095,3.1,787,0.784313725
53246,3.1,787,0.784313725
53397,3.1,787,0.784313725
53548,2.48,772,0.784313725
53698,2.48,777,0.784313725
53850,2.48,782,0.784313725
54001,2.48,797,0.784313725
54152,2.48,791,0.784313725
54302,2.48,775,0.784313725
54453,2.48,763,0.784313725
54603,2.48,762,0.784313725
54754,2.48,756,0.784313725
54905,2.48,754,0.784313725
55056,2.48,776,0.784313725
55208,3.1,781,0.784313725
55360,3.1,756,0.784313725
55511,3.1,789,0.784313725
55662,3.1,786,0.784313725
55814,3.1,795,0.784313725
55965,3.1,781,0.784313725
56117,3.1,796,0.784313725
56267,3.1,804,0.784313725
56418,3.1,818,0.784313725
56569,3.1,829,0.784313725
56720,3.1,815,0.784313725
56871,3.1,802,0.784313725
57023,3.1,784,0.784313725
57173,3.1,763,0.784313725
57323,3.1,756,0.784313725
57475,3.1,770,0.784313725
57626,2.48,760,0.784313725
57776,2.48,756,0.784313725
57926,2.48,752,0.784313725
58076,2.48,750,0.784313725
58227,2.48,741,0.784313725
58379,2.48,745,0.784313725
58530,2.48,746,0.784313725
58681,2.48,733,0.784313725
58833,2.48,731,0.784313725
58984,2.48,719,0.784313725
59135,2.48,724,0.784313725
59286,2.48,725,0.784313725
59437,2.48,717,0.784313725
59588,2.48,717,0.784313725
59740,2.48,713,0.784313725
59891,2.48,701,0.784313725
60041,2.48,700,0.784313725
60192,2.48,708,0.784313725
60344,2.48,695,0.784313725
60497,1.86,685,0.784313725
60648,1.86,690,0.784313725
60800,1.86,689,0.784313725
60951,1.86,681,0.784313725
61102,1.86,676,0.784313725
61254,1.86,677,0.784313725
61405,1.86,678,0.784313725
61557,1.86,677,0.784313725
61708,1.86,667,0.784313725
61859,1.86,665,0.784313725
62010,2.48,668,0.784313725
62161,2.48,662,0.784313725
62312,2.48,653,0.784313725
62464,2.48,649,0.784313725
62616,2.48,647,0.784313725
62767,2.48,639,0.784313725
62919,2.48,640,0.784313725
63070,2.48,640,0.784313725
63222,2.48,633,0.784313725
63374,2.48,625,0.784313725
63525,2.48,625,0.784313725
63677,2.48,622,0.784313725
63829,2.48,631,0.784313725
63981,3.1,627,0.784313725
64132,3.1,629,0.784313725
64283,3.1,644,0.784313725
64435,3.1,636,0.784313725
64587,3.1,631,0.784313725
64739,3.1,653,0.784313725
64890,3.72,678,0.784313725
65042,3.72,713,0.784313725
65193,3.72,726,0.784313725
65345,3.72,742,0.784313725
65497,4.34,718,0.784313725
65648,4.34,703,0.784313725
65800,4.34,672,0.784313725
65950,4.34,660,0.784313725
66102,4.96,644,0.784313725
66253,4.96,626,0.784313725
66405,4.96,618,0.784313725
66557,4.96,619,0.784313725
66709,5.58,624,0.784313725
66860,5.58,626,0.784313725
67011,5.58,635,0.784313725
67162,6.2,640,0.784313725
67315,6.2,647,0.784313725
67466,6.2,653,0.784313725
67617,6.2,656,0.784313725
67768,6.2,657,0.784313725
67918,6.2,653,0.784313725
68068,6.2,650,0.784313725
68219,6.2,653,0.784313725
68369,6.2,659,0.784313725
68523,6.2,659,0.784313725
68674,6.2,664,0.784313725
68824,6.2,663,0.784313725
68976,6.2,662,0.784313725
69127,6.2,660,0.784313725
69280,6.2,653,0.784313725
69432,6.2,651,0.784313725
69584,6.2,658,0.784313725
69735,6.82,687,0.784313725
69886,6.82,648,0.784313725
70036,6.82,674,0.784313725
70186,6.82,689,0.784313725
70336,7.44,700,0.784313725
70487,7.44,699,0.784313725
70639,7.44,700,0.784313725
70791,8.06,707,0.784313725
70942,8.06,712,0.784313725
71093,8.06,722,0.784313725
71244,8.06,730,0.784313725
71395,8.06,736,0.784313725
71546,8.68,738,0.784313725
71698,8.68,734,0.784313725
71849,8.06,740,0.784313725
72000,8.06,733,0.784313725
72153,8.06,737,0.784313725
72305,8.06,736,0.784313725
72457,8.06,737,0.784313725
72609,8.06,736,0.784313725
72762,8.06,742,0.784313725
72914,7.44,744,0.784313725
73067,7.44,745,0.784313725
73217,6.82,745,0.784313725
73369,6.82,742,0.784313725
73522,6.2,739,0.784313725
73674,6.2,727,0.784313725
73826,5.58,723,0.784313725
73979,5.58,710,0.784313725
74130,5.58,699,0.784313725
74281,4.96,692,0.784313725
74434,4.34,681,0.784313725
74586,4.34,674,0.784313725
74738,3.72,648,0.784313725
74890,3.1,650,0.784313725
75040,3.1,641,0.784313725
75192,2.48,645,0.784313725
75344,2.48,647,0.784313725
75495,2.48,641,0.784313725
75648,2.48,642,0.784313725
75799,1.86,636,0.784313725
75951,1.86,631,0.784313725
76101,1.86,628,0.784313725
76252,1.86,630,0.784313725
76403,1.86,626,0.784313725
76556,1.24,628,0.784313725
76709,1.24,620,0.784313725
76861,1.86,625,0.784313725
77012,1.86,632,0.784313725
77163,1.86,635,0.784313725
77314,2.48,629,0.784313725
77467,2.48,629,0.784313725
77619,2.48,623,0.784313725
77771,3.1,653,0.784313725
77922,3.1,678,0.784313725
78073,3.72,694,0.784313725
78224,3.72,662,0.784313725
78376,3.72,671,0.784313725
78527,4.34,679,0.784313725
78678,4.34,665,0.784313725
78829,4.96,659,0.784313725
78980,4.96,650,0.784313725
79131,4.96,648,0.784313725
79282,5.58,649,0.784313725
79433,5.58,648,0.784313725
79585,6.2,648,0.784313725
79737,6.2,653,0.784313725
79888,6.2,663,0.784313725
80039,6.82,661,0.784313725
80190,6.82,659,0.784313725
80342,6.82,661,0.784313725
80493,7.44,664,0.784313725
80644,7.44,666,0.784313725
80795,8.06,672,0.784313725
80947,8.06,665,0.784313725
81097,8.06,656,0.784313725
81249,8.06,645,0.784313725
81400,8.68,651,0.784313725
81552,8.06,652,0.784313725
81702,8.06,666,0.784313725
81854,8.06,671,0.784313725
82005,8.06,682,0.784313725
82156,7.44,687,0.784313725
82307,7.44,688,0.784313725
82459,6.82,694,0.784313725
82610,6.82,693,0.784313725
82762,6.2,695,0.784313725
82913,5.58,694,0.784313725
83064,4.96,697,0.784313725
83214,4.96,704,0.784313725
83364,4.96,695,0.784313725
83514,4.34,696,0.784313725
83664,4.34,688,0.784313725
83814,4.34,684,0.784313725
83964,3.72,672,0.784313725
84114,3.72,654,0.784313725
84265,3.72,669,0.784313725
84415,3.72,668,0.784313725
84565,3.1,674,0.784313725
84715,3.1,664,0.784313725
84868,3.1,663,0.784313725
85022,3.1,672,0.784313725
85173,3.1,672,0.784313725
85325,3.1,664,0.784313725
85475,3.1,661,0.784313725
85625,3.1,661,0.784313725
85775,3.1,669,0.784313725
85925,3.1,668,0.784313725
86075,3.1,736,1.176470588
86225,3.1,824,1.176470588
86376,3.72,999,1.176470588
86526,4.34,1157,0.784313725
86676,4.96,1196,0.784313725
86826,5.58,1229,0.784313725
86976,6.2,1292,0.784313725
87126,6.2,1282,0.784313725
87276,6.2,1245,0.784313725
87426,6.82,1173,0.784313725
87576,6.82,1122,0.784313725
87727,6.82,1081,0.784313725
87877,6.82,1032,0.784313725
88027,6.82,1024,0.784313725
88177,6.2,1027,0.784313725
88327,5.58,1028,0.784313725
88477,4.96,1027,0.784313725
88627,4.34,1024,0.784313725
88777,3.72,1019,0.784313725
88927,3.72,934,0.784313725
89077,3.1,887,0.784313725
89228,3.1,826,0.784313725
89378,3.72,770,0.784313725
89528,3.72,775,0.784313725
89679,3.72,808,0.784313725
89830,3.72,842,0.784313725
89981,4.34,871,0.784313725
90133,4.34,879,0.784313725
90283,4.96,907,0.784313725
90435,5.58,1052,0.784313725
90585,5.58,1081,1.176470588
90738,6.2,1124,0.784313725
90889,6.82,1253,1.176470588
91041,6.82,1315,1.176470588
91192,7.44,1318,1.176470588
91343,7.44,1523,1.176470588
91494,8.06,1534,1.176470588
91646,8.68,1598,1.176470588
91798,9.3,1792,1.176470588
91949,9.92,1849,1.176470588
92101,10.54,1936,1.176470588
92253,11.16,2094,1.176470588
92405,11.78,2195,1.568627451
92557,12.4,2306,1.568627451
92709,13.02,2424,1.568627451
92860,13.64,2549,1.568627451
93012,14.26,2650,1.568627451
93163,14.88,2746,1.568627451
93315,15.5,2844,0.784313725
93466,16.12,2770,0.784313725
93617,16.12,2729,0.784313725
93769,16.12,2565,0.784313725
93920,16.12,2383,0.784313725
94073,16.12,2188,0.784313725
94224,16.12,2018,0.784313725
94375,16.12,1833,0.784313725
94527,16.12,1653,0.784313725
94678,16.12,1466,0.784313725
94830,16.12,1290,0.784313725
94980,15.5,1113,0.784313725
95131,15.5,974,0.784313725
95281,15.5,919,0.784313725
95432,14.88,965,0.784313725
95584,14.88,1000,0.784313725
95735,14.26,1010,0.784313725
95888,13.64,1012,0.784313725
96038,13.64,1007,0.784313725
96190,13.02,1004,0.784313725
96341,13.02,1007,0.784313725
96493,12.4,1010,0.784313725
96645,12.4,997,0.784313725
96797,12.4,965,0.784313725
96948,12.4,937,0.784313725
97100,11.78,911,0.784313725
97251,11.78,884,0.784313725
97403,11.78,852,0.784313725
97555,11.16,815,0.784313725
97708,11.16,803,0.784313725
97861,10.54,794,0.784313725
98012,9.92,780,0.784313725
98163,9.92,767,0.784313725
98315,9.3,754,0.784313725
98466,8.68,743,0.784313725
98617,8.68,732,0.784313725
98769,8.06,725,0.784313725
98920,7.44,706,0.784313725
99072,6.82,706,0.784313725
99223,6.2,721,0.784313725
99376,5.58,735,0.784313725
99528,4.96,783,0.784313725
99680,3.72,826,0.784313725
99830,3.1,814,0.784313725
99981,2.48,816,0.784313725
100133,1.86,815,0.784313725
100283,1.24,816,0.784313725
100435,1.24,770,0.784313725
100588,0.62,775,0.784313725
100739,0.62,769,0.784313725
100890,0,793,0.784313725
101598,0,800,0.784313725
101648,0.62,1216,1.176470588
101800,1.86,1178,1.176470588
101951,3.1,1111,1.176470588
102104,3.72,1011,1.176470588
102254,4.96,1000,1.176470588
102405,5.58,1182,1.176470588
102556,5.58,1295,1.176470588
102708,6.82,1360,1.176470588
102860,6.82,1497,1.176470588
103011,7.44,1624,1.176470588
103163,8.06,1751,1.176470588
103314,9.3,1868,1.176470588
103466,9.92,1948,1.176470588
103619,10.54,1987,0.784313725
103770,9.92,2119,0.784313725
103922,9.3,2051,0.784313725
104073,9.3,1874,1.176470588
104224,9.3,1544,1.176470588
104377,9.3,1417,1.176470588
104529,9.92,1180,1.176470588
104681,10.54,1272,1.176470588
104832,10.54,1343,1.568627451
104983,11.16,1344,1.568627451
105134,11.78,1491,1.568627451
105286,12.4,1500,1.568627451
105437,13.02,1638,1.568627451
105589,14.26,1690,1.568627451
105741,14.88,1800,1.960784314
105894,16.12,1885,1.960784314
106044,17.36,2022,1.960784314
106197,17.98,2048,1.960784314
106348,19.22,2188,1.960784314
106499,19.84,2253,1.960784314
106651,20.46,2357,1.960784314
106802,21.7,2424,1.960784314
106953,22.32,2524,1.568627451
107104,22.94,2570,1.568627451
107255,23.56,2612,0.784313725
